"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1787380507325431917","https://twitter.com/UniSocialNet/status/1787380507325431917","@Leila1H @ShamGaza @AdameMedia @KarinBorjeesson @swilkinsonbc @DrLoupis There's No-where for Any of them to go?
Israeli Government is Insane!","2024-05-06 07:14 +0000","19.0","4.0","0.21052631578947367","1.0","0.0","2.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1787379145585881134","https://twitter.com/UniSocialNet/status/1787379145585881134","@21TRUTHISNOW @liamxxxmail 
Almost fell out of my chair... https://t.co/ZPoEEgCPbq","2024-05-06 07:09 +0000","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1787378290186997770","https://twitter.com/UniSocialNet/status/1787378290186997770","And Go where? https://t.co/xsYKnRxIaE","2024-05-06 07:06 +0000","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1787378091880259912","https://twitter.com/UniSocialNet/status/1787378091880259912","The #Philosophy of ""Cloud Atlas"" | How Beauty Will Save the World https://t.co/YcQHgml73D","2024-05-06 07:05 +0000","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1787370430665224243","https://twitter.com/UniSocialNet/status/1787370430665224243","""The heroism of a man who risked himself to save a child from certain death after he was swept away by floods in #Iraq"" https://t.co/hea6DflhCH","2024-05-06 06:34 +0000","21.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1787370262163308735","https://twitter.com/UniSocialNet/status/1787370262163308735","#War Against #Children https://t.co/BEt9oJ780y","2024-05-06 06:34 +0000","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1787369938035896803","https://twitter.com/UniSocialNet/status/1787369938035896803","@patriotstorm17 @samalmostfree ""Know thyself and thou shall know all the mysteries of the gods and of the Universe.""
https://t.co/lMf9yw13oB","2024-05-06 06:32 +0000","0.0","0.0","NaN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1787361391218757712","https://twitter.com/UniSocialNet/status/1787361391218757712","😹#Truth is #StrangerThanFiction? https://t.co/Z1f6mYstTe","2024-05-06 05:58 +0000","8.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1787355723577381266","https://twitter.com/UniSocialNet/status/1787355723577381266","@kaz427244_z This is one of my Favorite places on Earth!","2024-05-06 05:36 +0000","0.0","0.0","NaN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1787355556153291030","https://twitter.com/UniSocialNet/status/1787355556153291030","🇹🇷#Culture https://t.co/qiYzNtKRb2","2024-05-06 05:35 +0000","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1787354779397595225","https://twitter.com/UniSocialNet/status/1787354779397595225","@kaz122780668465 I will  Follow &amp; share all of them! 🥲
You're my top favorite profile &amp; curator in the Scenic Photos ""scene"".  I found so many amazing people through you.

(we all have to escape some time? 🏖️📸You're my antidote to Sad feelings!)","2024-05-06 05:32 +0000","9.0","2.0","0.2222222222222222","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1787353325928583248","https://twitter.com/UniSocialNet/status/1787353325928583248","@kaz122780668465 😿 I'm so Sad: Why did they ""suspend"" you, a beautiful soul like you? Who posts humble Nature Travel &amp; #Earth pics? You Rebuilt on this one?","2024-05-06 05:26 +0000","9.0","2.0","0.2222222222222222","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
