"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2024-04-01","0","1325","74","0.05584905660377359","5","7","31","8","3","1","9","0","0","0","7","0","0","10","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-02","0","382","2","0.005235602094240838","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-03","0","221","5","0.02262443438914027","0","0","0","1","1","0","0","0","0","0","3","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-04","0","336","11","0.03273809523809524","0","0","0","2","2","1","3","0","0","0","3","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-05","0","466","8","0.017167381974248927","0","0","2","2","1","0","0","0","0","0","2","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-06","0","536","3","0.005597014925373134","0","0","0","1","0","0","0","0","0","0","2","0","0","2","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-07","0","257","2","0.007782101167315175","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-08","0","344","3","0.00872093023255814","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-09","0","88","5","0.056818181818181816","1","0","0","0","0","0","0","0","0","0","4","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-10","0","57","5","0.08771929824561403","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-11","0","37","3","0.08108108108108109","0","0","0","0","2","0","0","0","0","0","0","0","0","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-12","0","26","2","0.07692307692307693","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-13","0","41","6","0.14634146341463414","0","0","1","0","0","0","0","0","0","0","5","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-14","0","31","3","0.0967741935483871","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-15","0","28","3","0.10714285714285714","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-16","0","701","50","0.07132667617689016","2","15","12","6","0","0","7","0","0","0","6","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-17","0","265","15","0.05660377358490566","0","2","6","2","1","0","1","0","0","0","3","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-18","0","327","24","0.07339449541284404","0","10","4","4","2","0","1","0","0","0","3","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-19","0","4417","80","0.01811184061580258","3","15","17","10","11","0","16","0","0","0","3","0","0","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-20","0","971","73","0.07518022657054584","3","10","11","5","5","0","20","0","0","0","3","0","0","28","16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-21","0","2076","88","0.04238921001926782","3","13","26","7","4","3","23","0","0","0","8","0","0","3","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-22","0","973","45","0.046248715313463515","4","3","9","8","1","0","9","0","0","0","11","0","0","7","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-23","0","1056","46","0.043560606060606064","1","3","13","10","1","1","4","0","0","0","11","0","0","10","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-24","0","499","25","0.050100200400801605","3","2","6","1","1","0","0","0","0","0","10","0","0","4","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-25","0","133","9","0.06766917293233082","0","0","5","0","0","0","0","0","0","0","4","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-26","0","74","14","0.1891891891891892","0","0","1","1","1","0","8","0","0","0","3","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-27","0","81","4","0.04938271604938271","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-28","0","80","5","0.0625","0","0","1","0","1","0","0","0","0","0","3","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-29","0","50","3","0.06","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-04-30","0","1699","139","0.08181283107710417","8","47","26","10","12","0","28","0","0","0","7","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
