"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2024-03-01","0","1372","30","0.021865889212827987","2","5","8","0","7","0","4","0","0","0","4","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-02","0","2777","84","0.030248469571480016","7","15","19","2","5","1","25","0","0","0","8","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-03","0","2196","100","0.04553734061930783","7","19","28","4","11","1","19","0","0","0","9","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-04","0","605","24","0.03966942148760331","0","1","1","1","5","0","9","0","0","0","6","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-05","0","1641","63","0.038391224862888484","0","7","7","3","8","2","24","0","0","0","12","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-06","0","1239","35","0.02824858757062147","3","7","9","2","0","0","3","0","0","0","8","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-07","0","745","13","0.0174496644295302","1","0","3","3","0","0","2","0","0","0","3","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-08","0","1532","55","0.03590078328981723","2","8","21","5","4","1","7","0","0","0","6","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-09","0","2636","75","0.028452200303490136","0","4","21","3","0","1","6","0","0","0","38","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-10","0","1585","44","0.0277602523659306","0","3","8","4","7","2","2","0","0","0","13","0","0","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-11","0","2266","73","0.032215357458075904","6","18","16","5","0","0","10","0","0","0","16","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-12","0","445","18","0.04044943820224719","1","1","6","1","1","0","0","0","0","0","7","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-13","0","532","20","0.03759398496240601","1","3","6","2","0","0","4","0","0","0","4","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-14","0","914","37","0.04048140043763676","1","12","8","4","2","0","6","0","0","0","3","0","0","6","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-15","0","398","15","0.03768844221105527","0","0","4","3","2","0","1","0","0","0","5","0","0","2","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-16","0","1431","48","0.033542976939203356","4","11","11","4","2","1","4","0","0","0","11","0","0","6","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-17","0","1259","106","0.08419380460683082","3","25","32","9","7","1","14","0","0","0","10","0","0","12","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-18","0","952","41","0.0430672268907563","4","9","10","5","4","0","6","0","0","0","3","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-19","0","804","26","0.03233830845771144","1","6","4","3","2","0","3","0","0","0","5","0","0","18","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-20","0","669","40","0.059790732436472344","3","4","5","4","12","0","2","0","0","0","8","0","0","11","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-21","0","658","35","0.05319148936170213","2","1","7","9","1","0","7","0","0","0","6","0","0","4","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-22","0","229","7","0.03056768558951965","0","0","0","2","0","0","0","0","0","0","3","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-23","0","345","10","0.028985507246376812","0","0","0","0","5","0","2","0","0","0","3","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-24","0","527","17","0.03225806451612903","0","6","1","1","2","0","1","0","0","0","3","0","0","29","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-25","0","314","21","0.06687898089171974","1","1","12","0","1","0","2","0","0","0","4","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-26","0","142","6","0.04225352112676056","0","0","2","1","0","0","0","0","0","0","3","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-27","0","749","37","0.049399198931909215","3","2","7","4","5","0","8","0","0","0","6","0","0","19","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-28","0","2911","221","0.07591892820336654","11","44","65","13","4","3","35","0","0","0","35","0","0","20","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-29","0","1425","73","0.051228070175438595","5","13","19","5","4","0","17","0","0","0","9","0","0","5","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-30","0","2066","124","0.060019361084220714","15","11","29","11","12","2","19","0","0","0","22","0","0","16","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-03-31","0","1056","49","0.04640151515151515","3","6","13","6","1","1","8","0","0","0","8","0","0","15","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
