"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2024-02-01","0","655","22","0.03358778625954199","0","1","4","1","4","2","4","0","0","0","6","0","0","2","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-02","0","213","10","0.046948356807511735","0","1","3","1","0","0","0","0","0","0","5","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-03","0","621","14","0.02254428341384863","0","1","4","2","3","0","0","0","0","0","2","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-04","0","791","37","0.04677623261694058","0","5","10","1","1","0","6","0","0","0","14","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-05","0","154","7","0.045454545454545456","0","0","2","1","0","0","0","0","0","0","4","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-06","0","90","5","0.05555555555555555","0","0","1","0","0","0","1","0","0","0","3","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-07","0","60","7","0.11666666666666667","0","0","0","1","0","0","0","0","0","0","6","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-08","0","103","6","0.05825242718446602","0","0","1","1","0","0","1","0","0","0","3","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-09","0","33","2","0.06060606060606061","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-10","0","32","9","0.28125","0","0","4","0","0","0","0","0","0","0","5","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-11","0","25","9","0.36","0","0","3","0","0","0","0","0","0","0","6","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-12","0","693","45","0.06493506493506493","0","12","14","1","0","0","12","0","0","0","6","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
