"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2024-05-01","0","4740","235","0.049578059071729956","17","26","54","9","68","4","27","0","0","0","28","0","0","5","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-05-02","0","4160","171","0.04110576923076923","4","25","27","31","19","3","47","0","1","0","11","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-05-03","0","1860","116","0.06236559139784946","8","15","29","11","9","4","21","0","0","0","13","0","0","8","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-05-04","81","1762","153","0.08683314415437003","10","31","21","7","9","0","24","0","0","0","46","0","0","6","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-05-05","72","1369","117","0.08546384222059898","4","21","26","16","5","0","27","0","0","0","8","0","0","10","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-05-06","45","820","60","0.07317073170731707","1","12","17","2","4","1","4","0","0","0","19","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
